符合條件商品
資料日期：2026年  7月 17日
策略,	Total pool
"序號","代碼","商品","成交","漲幅%","總量","總市值(元)",月營收年增率
316	,"2330.TW","台積電","2290","-7.29","97363","59385127000000",67.87
317	,"2331.TW","精英","19.4","-4.9","2862","10813000000",25.84
318	,"2332.TW","友訊","20.5","-8.89","33711","12344000000",19.39
319	,"2337.TW","旺宏","125","-8.42","68547","247663000000",216.09
320	,"2338.TW","光罩","43.2","-10","5492","15847000000",0.08
321	,"2340.TW","台亞","32.45","-7.02","5256","12286000000",16.34
322	,"2342.TW","茂矽","42.3","-10","4175","6661000000",4.57
323	,"2344.TW","華邦電","155","-9.88","110526","697500000000",189.88
324	,"2345.TW","智邦","2090","-9.91","3429","1172734000000",61.16
325	,"2347.TW","聯強","85.3","-2.29","9157","142275000000",135.45
326	,"2348.TW","海悅","78","-2.38","1027","11848000000",247.66
327	,"2349.TW","錸德","11.25","-5.46","4000","7803000000",-15.79
328	,"2351.TW","順德","172.5","-9.92","4240","31419000000",51.72
329	,"2352.TW","佳世達","30.4","-3.03","15867","48047000000",-0.62
330	,"2353.TW","宏碁","29.6","-3.74","37559","90216000000",-3.02
331	,"2354.TW","鴻準","54","-4.26","7116","76382000000",10.66
332	,"2355.TW","敬鵬","43.4","-6.87","6763","17251000000",4.44
333	,"2356.TW","英業達","58.5","-3.62","43533","209867000000",61.62
334	,"2357.TW","華碩","700","-2.1","4777","519932000000",55.63
335	,"2359.TW","所羅門","141","-4.08","9185","24177000000",35.56
336	,"2360.TW","致茂","1850","-7.04","4068","786703000000",73.02
337	,"2362.TW","藍天","40.4","-4.72","1224","25139000000",30.25
338	,"2363.TW","矽統","56.7","-10","13570","29199000000",74.8
339	,"2364.TW","倫飛","67.1","-5.23","272","3515000000",60.06
340	,"2365.TW","昆盈","29.65","-6.47","3299","6568000000",-17.28
341	,"2367.TW","燿華","44.8","-7.44","13847","31640000000",-4.14
342	,"2368.TW","金像電","927","-7.76","5633","479301000000",78.22
343	,"2369.TW","菱生","35.9","-9.91","14815","13645000000",36.52
344	,"2371.TW","大同","26.05","-3.87","16581","56029000000",16.64
345	,"2373.TW","震旦行","54.3","0.37","56","12825000000",4.91
346	,"2374.TW","佳能","67.7","-5.97","6013","22882000000",18.97
347	,"2375.TW","凱美","148.5","-9.73","5819","16138000000",18.39
348	,"2376.TW","技嘉","325","-3.56","8552","217713000000",68.55
349	,"2377.TW","微星","141.5","-2.41","15887","119547000000",-9.23
350	,"2379.TW","瑞昱","718","0.84","7045","370137000000",20.6
351	,"2380.TW","虹光","18.8","-4.08","57","1128000000",-8.51
352	,"2382.TW","廣達","325.5","-7.53","33475","1257285000000",102.87
353	,"2383.TW","台光電","4495","-9.92","3166","1610652000000",120.69
354	,"2385.TW","群光","102.5","-2.84","6905","78486000000",-5.48
355	,"2387.TW","精元","38.1","-1.68","783","7439000000",-17.57
356	,"2388.TW","威盛","65.9","-9.23","8072","36636000000",34.01
357	,"2390.TW","云辰","11.2","-7.44","1158","2157000000",17.56
358	,"2392.TW","正崴","35.55","-2.59","3825","18213000000",-42.48
359	,"2393.TW","億光","66.5","-4.32","3865","29485000000",10.58
360	,"2395.TW","研華","513","-1.13","2571","445414000000",73.39
361	,"2397.TW","友通","54.8","-6","723","6273000000",31.37
362	,"2399.TW","映泰","37.3","-8.24","4200","6643000000",-10.32
363	,"2401.TW","凌陽","27.4","-8.67","6993","16220000000",35.25
364	,"2402.TW","毅嘉","58.5","-7.58","4004","17990000000",21.7
365	,"2404.TW","漢唐","1160","-7.2","3356","221079000000",50.9
366	,"2405.TW","輔信","16.6","-3.49","3328","5700000000",23.12
367	,"2406.TW","國碩","30.75","-9.43","13351","10790000000",63
368	,"2408.TW","南亞科","395.5","-9.91","82626","1225506000000",621.34
369	,"2409.TW","友達","25.8","-6.69","210939","194715000000",13.83
370	,"2412.TW","中華電","138","1.47","37689","1070527000000",11.4
371	,"2413.TW","環科","40.7","-7.5","1365","5183000000",33.55
372	,"2414.TW","精技","60","-2.91","488","9704000000",87.26
373	,"2415.TW","錩新","32.75","-5.76","578","2947000000",9.2
374	,"2417.TW","圓剛","39.65","-5.93","1256","6233000000",4.96
375	,"2419.TW","仲琦","25.5","-6.25","1307","8193000000",-0.67
376	,"2420.TW","新巨","57.7","-2.7","957","8807000000",10.73
377	,"2421.TW","建準","127","-5.93","2469","36441000000",18.65
378	,"2423.TW","固緯","77.7","-6.05","443","11270000000",26.66
379	,"2424.TW","隴華","8.88","-3.79","66","159000000",94.99
380	,"2425.TW","承啟","41.25","-4.84","1641","3980000000",375.57
381	,"2426.TW","鼎元","55.7","-9.87","10111","16744000000",19.41
382	,"2427.TW","三商電","23.75","-4.43","1483","4702000000",-11.68
383	,"2428.TW","興勤","264","-8.65","1624","33821000000",46.62
384	,"2429.TW","銘旺科","42.55","-9.95","987","3563000000",-24.62
385	,"2430.TW","燦坤","18","0","135","2102000000",-3.36
386	,"2431.TW","聯昌","10.55","-3.21","491","1170000000",-51.02
387	,"2433.TW","互盛電","41.8","-0.48","81","6039000000",2.5
388	,"2434.TW","統懋","81.8","-9.91","428","1390000000",117.37
389	,"2436.TW","偉詮電","57.7","-5.72","4412","11545000000",18.28
390	,"2438.TW","翔耀","18.55","-5.12","174","1116000000",4.56
391	,"2439.TW","美律","82.1","-4.31","2248","20824000000",0.15
392	,"2440.TW","太空梭","15.55","-6.33","665","2163000000",55.96
393	,"2441.TW","超豐","126.5","-8.99","9771","71958000000",33.15
